,subset,clean_text,n_annot,mean_accept,mean_conf,label
0,eval,Around 98% of people live within 10 miles of a vaccination centre in England.,4,0.0,4.5,0
1,eval,The UK remains committed to donating 100 million doses by mid-2022.,4,0.25,4.5,0
2,eval,We will have donated more than 30 million vaccines by the end of 2021 and have announced plans to reach 70 million doses in total so far.,4,0.25,4.75,0
3,eval,"Thank you, Prime Minister.",4,0.0,4.75,0
4,eval,"This kicked off one of the greatest collective endeavours this nation has seen in peacetime – and think how far we’ve come since then.115 million jabs right across the UK, and a booster programme that is expanding at a phenomenal pace.",4,0.0,4.5,0
5,eval,"Today we’ve hit that milestone of 18 million booster doses across the UK, and the daily number of jabs has gone up a third since the start of this month.",4,0.0,4.5,0
6,eval,"Not only that, but we’ve delivered more booster doses than any other country with the exception of the USA and China.",4,0.0,4.75,0
7,eval,And that is something that we can all be very proud of.,4,0.0,4.5,0
8,eval,"And I’d like to thank the NHS, the armed forces, the volunteers, and everyone who’s done so much to make this programme a success – as well as every single person that has come forward for their jab.",4,0.0,4.75,0
9,eval,This is the real-world protection that our vaccination programme provides.,4,0.25,4.75,0
10,eval,Boosters in particular play a very huge part.,4,0.25,4.5,0
11,eval,"We’re now dealing of course with this new variant, Omicron, which the World Health Organisation said just yesterday, they said that it poses a ‘very high global risk’.",4,0.25,4.5,0
12,eval,"There have now been 13 confirmed cases in England and also 9 confirmed cases in Scotland, and we expect to see these numbers rising over the next few days.",4,0.0,4.5,0
13,eval,"There’s a lot we don’t know of course, and our scientists are working night and day to learn more about this new variant, and what it means for our response.",4,0.25,4.5,0
14,eval,While doing everything we can to slow the spread of the virus and to strengthen our defences.,4,0.25,4.5,0
15,eval,One important defence is antivirals.,4,0.0,4.75,0
16,eval,"We’ve already secured hundreds of thousands of doses of two antivirals, that have the potential to speed up recovery time and stop infections progressing.",4,0.25,3.25,0
17,eval,"Another, of course, is that vaccination programme.",4,0.0,4.75,0
18,eval,It’s true that we don’t yet have a full picture of how our vaccines respond to this new variant.,4,0.0,4.5,0
19,eval,"But although it’s possible for them to be less effective, it’s unlikely that they have no effectiveness against serious disease.",4,0.0,4.75,0
20,eval,So the best way that we can strengthen our protective wall is to get as many jabs in arms as possible.,4,0.75,4.0,1
21,eval,"And as the Prime Minister just set out, we’ll be massively expanding booster doses, in line with the JCVI advice.",4,0.0,4.0,0
22,eval,"This includes halving the dose interval for booster jabs from six months to three months, expanding the booster doses to include all remaining adults aged 18 and above, and offering booster doses for people who are immunosuppressed.",4,0.0,4.75,0
23,eval,I’d like to thank the JCVI for acting with such speed in response to this potential threat.,4,0.25,4.25,0
24,eval,"This means we’re now able to put our booster programme on steroids - and protect even more people, even more quickly.",4,0.0,4.25,0
25,eval,"We’ve got the jabs, thanks to the brilliant work of our Vaccines Taskforce, who’ve made sure that we’ve had a strong supply of vaccines all the way throughout this pandemic, and today we are setting out our plan to get those jabs in arms - and we’ll shortly be hearing a bit more from Amanda.",4,0.75,4.0,1
26,eval,"We’ve set some hugely ambitious targets, and we’re asking a huge amount from the NHS.",4,0.0,4.75,0
27,eval,"But I have no doubt that that they will rise to the challenge, just as they have done throughout this pandemic.",4,0.25,4.5,0
28,eval,"I know that the developments of the past few days have been worrying for some people, and that we’ve brought back memories…what we’re seeing recently has brought back memories of the strain of the last winter.",4,0.0,4.25,0
29,eval,"But although we can’t say with certainty what lies ahead, we have one huge advantage that we didn’t have back then.",4,0.0,4.5,0
30,eval,This is a national mission and we all have a role to play.,5,0.0,4.2,0
31,eval,I’ll now hand over to Amanda.,4,0.0,4.25,0
32,eval,"Mr Speaker, with permission, I’d like to make a statement on the Omicron variant and the steps we’re taking to keep our country safe.",4,0.25,4.5,0
33,eval,"We’re entering the winter in a strong position, thanks to the decisions we made in the summer and the defences that we have built.",4,0.75,4.0,1
34,eval,Our vaccination programme has been moving at a blistering pace and this weekend we reached the milestone of 17 million boosters across the UK.,4,0.0,4.5,0
35,eval,"This means that even though cases have been rising, hospital admissions have fallen a further 11% in the past week and deaths have fallen by 17%.",4,0.0,4.5,0
36,eval,"But just as the vaccination programme has shifted the odds in our favour, a worrying new variant has always had the opportunity to shift them back.",4,0.25,4.5,0
37,eval,"Last week I was alerted to what is now known as the Omicron variant, now designated a Variant of Concern by the World Health Organisation.",4,0.25,4.75,0
38,eval,We’re learning more about this new variant all the time.,4,0.0,4.75,0
39,eval,"But the latest indication is that it spreads very rapidly, it may impact the effectiveness of one of our major treatments for COVID-19, Ronapreve, and as the Chief Medical Officer said this weekend, there’s a reasonable chance that our current vaccines may be impacted.",4,0.25,3.75,0
40,eval,"I can update the House that there have now been five confirmed cases in England, and also six confirmed cases in Scotland and we expect cases to rise over the coming days.",4,0.0,4.75,0
41,eval,The new variant has also been spreading across the world.,4,0.0,4.75,0
42,eval,"Confirmed cases have been reported in many countries: including Austria, Belgium, the Czech Republic, Denmark, Germany, Italy, the Netherlands and Portugal.",4,0.0,4.5,0
43,eval,"So, our strategy is to buy ourselves time and to strengthen our defences while our world-leading scientists learn more about this potential threat.",4,0.0,4.75,0
44,eval,"On Friday, I updated the House about the measures that we’ve put in place including how within hours, we’d placed six countries in Southern Africa on the travel red list.",4,0.0,4.25,0
45,eval,"Today, Mr Speaker, I’d like to update the House on more balanced and proportionate steps that we’re taking.",4,0.0,4.75,0
46,eval,"First, measures at the border, to slow the incursion of the variant from abroad.",4,0.25,4.75,0
47,eval,"On Saturday, in line with the updated advice from the UK Health Security Agency, we acted quickly to add four other countries to the travel red list: Angola, Mozambique, Malawi and Zambia.",4,0.0,4.5,0
48,eval,And those who are allowed entry must isolate in a Government-approved facility for 10 days.,4,0.25,4.5,0
49,eval,"Beyond this red list, we’re also going further to put in place a proportionate testing regime for arrivals from across the world.",4,0.0,4.0,0
50,eval,So we’ll require anyone who enters the UK to take a PCR test by the end of their second day after they arrive and to self-isolate until they’ve received a negative result.,4,0.25,4.75,0
51,eval,"The regulations for this have been laid before the House today, and will come into effect at 4am tomorrow.",4,0.0,4.75,0
52,eval,"Second, we’ve announced measures to slow the spread of the virus here in the UK.",4,0.25,4.75,0
53,eval,"So close contacts of anyone who tests positive with a suspected case of Omicron must self-isolate for ten days, regardless of whether they have been vaccinated or not.",4,0.25,4.5,0
54,eval,Face coverings will also be made compulsory in shops and on public transport in England unless an individual has a medical exemption.,4,0.0,4.75,0
55,eval,"The regulations for self-isolation and face coverings have been laid before the House today, and will come into force at 4am tomorrow.",6,0.0,4.5,0
56,eval,But I can confirm to the House that there will be a debate and votes on these two measures to give the House the opportunity to have its say and to perform valuable scrutiny.,6,0.6666666666666666,4.333333333333333,1
57,eval,"Third, Mr Speaker, we’re strengthening the defences we’ve built against the virus.",6,0.0,4.5,0
58,eval,We’re already in a stronger position than we were when we faced the Delta variant.,6,0.0,4.5,0
59,eval,"We have a much greater capacity for testing, an enhanced ability for sequencing and the collective protection that’s offered by 114 million jabs in arms and so I would like to update the House on our vaccination programme as well.",6,0.1666666666666666,4.166666666666667,0
60,eval,Our COVID-19 vaccination programme has been a national success story.,6,0.0,4.5,0
61,eval,We’ve delivered more booster doses than anywhere else in Europe and we’ve given top-up jabs to over one in three people over the age of 18 across the UK.,5,0.4,4.6,0
62,eval,"I’d like to take this opportunity to pay tribute to the NHS, the volunteers, the armed forces and everyone else that has been involved in this life-saving work.",5,0.0,4.2,0
63,eval,"Our vaccines remain our best line of defence against this virus, in whatever form it attacks us.",5,0.4,4.6,0
64,eval,There’s a lot we don’t know about how our vaccine responds to this new variant.,4,0.25,4.0,0
65,eval,"But although it’s possible that they may be less effective, it’s highly unlikely they will have no effectiveness at all against serious disease.",4,0.0,4.5,0
66,eval,So it’s really important that we get as many jabs in arms as possible.,4,0.0,4.75,0
67,eval,"Over the next few weeks, we were already planning to do six million booster jabs in England alone, but against this backdrop of this new variant, we want to go further and faster.",4,0.25,3.75,0
